Public_Holidays;Date
New Year's Day;01.01.2021
Martin Luther King Jr. Day;18.01.2021
Presidents' Day;15.02.2021
Memorial Day;31.05.2021
Independence Day;05.07.2021
Labor Day;06.09.2021
Veterans Day;11.11.2021
Thanksgiving Day;25.11.2021
Day after Thanksgiving;26.11.2021
Year's last Day;24.12.2021
New Year's Day;31.12.2021
New Year's Day;01.01.2019
Martin Luther King Jr. Day;15.01.2019
Presidents' Day;19.02.2019
Memorial Day;28.05.2019
Independence Day;04.07.2019
Labor Day;03.09.2019
Veterans Day;12.11.2019
Thanksgiving Day;22.11.2019
Day after Thanksgiving;23.11.2019
Christmas Day;25.12.2019
Year's last Day;31.12.2019
New Year's Day;01.01.2020
Martin Luther King Jr. Day;20.01.2020
Presidents' Day;17.02.2020
Memorial Day;25.05.2020
Independence Day;03.07.2020
Labor Day;07.09.2020
Veterans Day;11.11.2020
Thanksgiving Day;26.11.2020
Day after Thanksgiving;27.11.2020
Christmas Day;25.12.2020
Year's last Day;31.12.2020
New Year's Day;01.01.2018
Martin Luther King Jr. Day;15.01.2018
Presidents' Day;19.02.2018
Memorial Day;28.05.2018
Independence Day;07.07.2018
Labor Day;03.09.2018
Veterans Day;12.11.2018
Thanksgiving Day;22.11.2018
Day after Thanksgiving;23.11.2018
Christmas Day;25.12.2018
Year's last Day;31.12.2018
New Year's Day;02.01.2017
Martin Luther King Jr. Day;16.01.2017
Presidents' Day;20.02.2017
Memorial Day;29.05.2017
Independence Day;04.07.2017
Labor Day;04.09.2017
Veterans Day;10.11.2017
Thanksgiving Day;23.11.2017
Day after Thanksgiving;24.11.2017
Christmas Day;25.12.2017
Year's last Day;31.12.2017
New Year's Day;01.01.2016
Martin Luther King Jr. Day;18.01.2016
Presidents' Day;15.02.2016
Memorial Day;30.05.2016
Independence Day;04.07.2016
Labor Day;05.09.2016
Veterans Day;11.11.2016
Thanksgiving Day;24.11.2016
Day after Thanksgiving;25.11.2016
Christmas Day;25.12.2016
Year's last Day;31.12.2016
New Year's Day;01.01.2015
Martin Luther King Jr. Day;19.01.2015
Presidents' Day;16.02.2015
Memorial Day;25.05.2015
Independence Day;03.07.2015
Labor Day;07.09.2015
Veterans Day;11.11.2015
Thanksgiving Day;26.11.2015
Day after Thanksgiving;27.11.2015
Christmas Day;25.12.2015
Year's last Day;31.12.2015
