School_Holidays;From_Date;To_Date
First Day of School;07.09.2016;07.09.2016
Thanksgiving Break;23.11.2016;24.11.2016
Christmas Break;19.12.2016;20.12.2016
Mid Winter Break;20.02.2017;24.02.2017
Spring Break;10.04.2017;14.04.2017
Last Day of School;26.06.2017;26.06.2017
Summer Break;27.06.2017;05.09.2017
First Day of School;06.09.2017;06.09.2017
Thanksgiving Break;23.11.2017;24.11.2017
Christmas Break;18.12.2017;01.01.2018
Mid Winter Break;19.02.2018;23.02.2018
Spring Break;09.04.2018;13.04.2018
Last Day of School;22.06.2018;22.06.2018
Summer Break;23.06.2018;04.09.2018
First Day of School;05.09.2018;05.09.2018
Thanksgiving Break;22.11.2018;23.11.2018
Christmas Break;24.12.2018;04.01.2019
Mid Winter Break;19.02.2019;22.02.2019
Spring Break;08.04.2019;12.04.2019
Last Day of School;20.06.2019;20.06.2019
Summer Break;21.06.2019;03.09.2019
First Day of School;04.09.2019;04.09.2019
Thanksgiving Break;28.11.2019;29.11.2019
Christmas Break;23.12.2019;03.01.2020
Mid Winter Break;17.02.2020;21.02.2020
Spring Break;13.04.2020;17.04.2020
Last Day of School;18.06.2020;18.06.2020
Summer Break;19.06.2020;01.09.2020
First Day of School;02.09.2020;02.09.2020
Thanksgiving Break;23.11.2020;27.11.2020
Christmas Break;21.12.2020;01.01.2021
Mid Winter Break;15.02.2021;19.02.2021
Spring Break;12.04.2021;16.04.2021
Last Day of School;18.06.2021;18.06.2021
Summer Break;21.06.2021;31.08.2021
First Day of School;01.09.2021;01.09.2021
Thanksgiving Break;22.11.2021;26.11.2021
Christmas Break;20.12.2021;31.12.2021
Mid Winter Break;21.02.2022;25.02.2022
Spring Break;11.04.2022;15.04.2022
Last Day of School;17.06.2022;17.06.2022
Summer Break;20.06.2022;31.08.2022
